[INFO] [1789634848.734569019] [vision_manager]: Subscribed to rgb=/rgb, depth=/depth, camera_info=/camera_info, target_frame=wrist_camera_optical_frame
[INFO] [1789634855.489857506] [vision_manager]: Book detected: xyz=(-0.090, -0.022, 0.403), center=(249, 223)
[INFO] [1789634855.643166385] [vision_manager]: Book detected: xyz=(-0.086, -0.180, 0.400), center=(252, 97)
[INFO] [1789634855.645672333] [vision_manager]: Book detected: xyz=(-0.114, -0.096, 0.525), center=(251, 182)
[INFO] [1789634855.647984211] [vision_manager]: Book detected: xyz=(0.734, 0.005, 0.869), center=(588, 242)
[INFO] [1789634855.649970900] [vision_manager]: Book detected: xyz=(0.655, 0.000, 0.869), center=(559, 240)
[INFO] [1789634855.651779050] [vision_manager]: Book detected: xyz=(-0.090, -0.023, 0.402), center=(249, 222)
[INFO] [1789634855.654067288] [vision_manager]: Book detected: xyz=(-0.091, 0.030, 0.400), center=(248, 264)
[INFO] [1789634855.802903378] [vision_manager]: Book detected: xyz=(-0.087, -0.180, 0.400), center=(251, 97)
[INFO] [1789634855.804248057] [vision_manager]: Book detected: xyz=(-0.114, -0.096, 0.516), center=(250, 181)
[INFO] [1789634855.805477057] [vision_manager]: Book detected: xyz=(0.734, 0.005, 0.869), center=(588, 242)
[INFO] [1789634855.806729687] [vision_manager]: Book detected: xyz=(0.647, 0.000, 0.869), center=(556, 240)
[INFO] [1789634855.807941420] [vision_manager]: Book detected: xyz=(-0.090, -0.027, 0.401), center=(249, 219)
[INFO] [1789634855.809304037] [vision_manager]: Book detected: xyz=(-0.091, 0.029, 0.400), center=(248, 263)
[INFO] [1789634855.962061676] [vision_manager]: Book detected: xyz=(-0.086, -0.180, 0.400), center=(252, 97)
[INFO] [1789634855.963139220] [vision_manager]: Book detected: xyz=(-0.114, -0.096, 0.525), center=(251, 182)
[INFO] [1789634855.964162971] [vision_manager]: Book detected: xyz=(0.734, 0.005, 0.869), center=(588, 242)
[INFO] [1789634855.965415843] [vision_manager]: Book detected: xyz=(0.638, 0.000, 0.869), center=(553, 240)
[INFO] [1789634855.966435710] [vision_manager]: Book detected: xyz=(-0.091, -0.023, 0.402), center=(248, 222)
[INFO] [1789634855.967444549] [vision_manager]: Book detected: xyz=(-0.092, 0.028, 0.401), center=(247, 262)
[INFO] [1789634856.106823846] [vision_manager]: Book detected: xyz=(-0.086, -0.180, 0.400), center=(252, 97)
[INFO] [1789634856.108034614] [vision_manager]: Book detected: xyz=(-0.110, -0.096, 0.499), center=(250, 179)
[INFO] [1789634856.109189607] [vision_manager]: Book detected: xyz=(0.734, 0.005, 0.869), center=(588, 242)
[INFO] [1789634856.110289177] [vision_manager]: Book detected: xyz=(0.619, 0.000, 0.869), center=(546, 240)
[INFO] [1789634856.111387335] [vision_manager]: Book detected: xyz=(-0.091, -0.022, 0.403), center=(248, 223)
[INFO] [1789634856.112477808] [vision_manager]: Book detected: xyz=(-0.092, 0.027, 0.401), center=(247, 261)
