[INFO] [1789702449.365903960] [task_manager_node]: Manipulation feedback: phase=RETREATING, progress=0.88
[INFO] [1789702449.388161358] [task_manager_node]: Manipulation feedback: phase=RETREATING, progress=0.88
[INFO] [1789702449.410842764] [task_manager_node]: Manipulation feedback: phase=VERIFYING, progress=1.00
[INFO] [1789702449.412830323] [task_manager_node]: Book placement succeeded: book_id=book_001, message=배치 확인
[INFO] [1789702449.413548025] [task_manager_node]: FSM transition completed: PLACE_BOOK -> UPDATE_DATA
[INFO] [1789702449.414098367] [task_manager_node]: Placement record updated: book_id=book_001, shelf_id=shelf_01, completed_books=1/1
[INFO] [1789702449.414784519] [task_manager_node]: FSM transition completed: UPDATE_DATA -> NEXT_BOOK
[INFO] [1789702449.415481457] [task_manager_node]: All books in the tray were processed.
[INFO] [1789702449.416244631] [task_manager_node]: FSM transition completed: NEXT_BOOK -> RETURN_HOME
[INFO] [1789702449.416693062] [task_manager_node]: Waiting for navigation action server.
[INFO] [1789702449.417584607] [task_manager_node]: Sending navigation goal: job_id=job_085de825ea20, target_type=home, target_id=home, x=0.00, y=0.00
[INFO] [1789702449.420054479] [task_manager_node]: Navigation goal was accepted.
[INFO] [1789702449.421245497] [task_manager_node]: Navigation feedback: target_id=home, phase=NAVIGATING, remaining_distance=1.00, position_error=1.00, yaw_error=0.00
[INFO] [1789702449.924655847] [task_manager_node]: Navigation feedback: target_id=home, phase=NAVIGATING, remaining_distance=0.50, position_error=0.50, yaw_error=0.00
[INFO] [1789702450.428787582] [task_manager_node]: Navigation feedback: target_id=home, phase=NAVIGATING, remaining_distance=0.10, position_error=0.10, yaw_error=0.00
[INFO] [1789702450.930595919] [task_manager_node]: Navigation feedback: target_id=home, phase=NAVIGATING, remaining_distance=0.00, position_error=0.00, yaw_error=0.00
[INFO] [1789702451.432706239] [task_manager_node]: Navigation succeeded: Reached target 'home'.
[INFO] [1789702451.433363419] [task_manager_node]: FSM transition completed: RETURN_HOME -> COMPLETED
[INFO] [1789702451.433878262] [task_manager_node]: Job completed: job_id=job_085de825ea20, placed_books=1
[INFO] [1789702451.434566769] [task_manager_node]: FSM transition completed: COMPLETED -> IDLE
[INFO] [1789702508.563431624] [task_manager_node]: Received TrayJob: job_id=job_2a6d05ed7df8, tray_id=tray_001, books=1
[INFO] [1789702508.567213402] [task_manager_node]: Job plan created: job_id=job_2a6d05ed7df8, tray_id=tray_001, tasks=1
[INFO] [1789702508.569796994] [task_manager_node]: Task 1: book_id=book_001, classification=005.7, target_shelf=shelf_01
[INFO] [1789702508.574504987] [task_manager_node]: FSM transition completed: PLANNING -> NAV_TO_RETURN
[INFO] [1789702508.577239522] [task_manager_node]: Waiting for navigation action server.
[INFO] [1789702508.580711687] [task_manager_node]: Sending navigation goal: job_id=job_2a6d05ed7df8, target_type=return_station, target_id=return_station, x=1.00, y=0.00
[INFO] [1789702508.588669082] [task_manager_node]: Navigation goal was accepted.
[INFO] [1789702508.591183568] [task_manager_node]: Navigation feedback: target_id=return_station, phase=NAVIGATING, remaining_distance=1.00, position_error=1.00, yaw_error=0.00
[INFO] [1789702509.093628254] [task_manager_node]: Navigation feedback: target_id=return_station, phase=NAVIGATING, remaining_distance=0.50, position_error=0.50, yaw_error=0.00
[INFO] [1789702509.593868408] [task_manager_node]: Navigation feedback: target_id=return_station, phase=NAVIGATING, remaining_distance=0.10, position_error=0.10, yaw_error=0.00
[INFO] [1789702510.095741040] [task_manager_node]: Navigation feedback: target_id=return_station, phase=NAVIGATING, remaining_distance=0.00, position_error=0.00, yaw_error=0.00
[INFO] [1789702510.598176889] [task_manager_node]: Navigation succeeded: Reached target 'return_station'.
[INFO] [1789702510.598818035] [task_manager_node]: FSM transition completed: NAV_TO_RETURN -> RECEIVE_TRAY
[INFO] [1789702510.599462393] [task_manager_node]: FSM transition completed: RECEIVE_TRAY -> SELECT_BOOK
[INFO] [1789702510.600089285] [task_manager_node]: Selected book task: book_id=book_001, task_number=1/1, target_shelf=shelf_01
[INFO] [1789702510.601144615] [task_manager_node]: FSM transition completed: SELECT_BOOK -> NAV_TO_SHELF
[INFO] [1789702510.601649281] [task_manager_node]: Waiting for navigation action server.
[INFO] [1789702510.602820432] [task_manager_node]: Sending navigation goal: job_id=job_2a6d05ed7df8, target_type=shelf, target_id=shelf_01, x=3.00, y=1.00
[INFO] [1789702510.605771303] [task_manager_node]: Navigation goal was accepted.
[INFO] [1789702510.607117075] [task_manager_node]: Navigation feedback: target_id=shelf_01, phase=NAVIGATING, remaining_distance=1.00, position_error=1.00, yaw_error=0.00
[INFO] [1789702511.107513932] [task_manager_node]: Navigation feedback: target_id=shelf_01, phase=NAVIGATING, remaining_distance=0.50, position_error=0.50, yaw_error=0.00
[INFO] [1789702511.611165469] [task_manager_node]: Navigation feedback: target_id=shelf_01, phase=NAVIGATING, remaining_distance=0.10, position_error=0.10, yaw_error=0.00
[INFO] [1789702512.114688037] [task_manager_node]: Navigation feedback: target_id=shelf_01, phase=NAVIGATING, remaining_distance=0.00, position_error=0.00, yaw_error=0.00
[INFO] [1789702512.618070245] [task_manager_node]: Navigation succeeded: Reached target 'shelf_01'.
[INFO] [1789702512.618658017] [task_manager_node]: FSM transition completed: NAV_TO_SHELF -> DETECT_TARGET_SLOT
[INFO] [1789702512.619086895] [task_manager_node]: Waiting for perception action server.
[INFO] [1789702512.619716267] [task_manager_node]: Sending empty-slot detection goal: job_id=job_2a6d05ed7df8, book_id=book_001, shelf_id=shelf_01, book_width=0.180, book_height=0.240, book_thickness=0.035
[INFO] [1789702512.621770703] [task_manager_node]: Empty-slot detection goal was accepted.
[INFO] [1789702512.622719884] [task_manager_node]: Perception feedback: phase=CAPTURING, candidate_count=0, best_confidence=0.00
[INFO] [1789702513.024573665] [task_manager_node]: Perception feedback: phase=DETECTING_SHELF, candidate_count=1, best_confidence=0.70
[INFO] [1789702513.429248881] [task_manager_node]: Perception feedback: phase=FINDING_EMPTY_SPACE, candidate_count=2, best_confidence=0.85
[INFO] [1789702513.829817193] [task_manager_node]: Perception feedback: phase=CALCULATING_POSE, candidate_count=2, best_confidence=0.93
[INFO] [1789702514.231171613] [task_manager_node]: Perception feedback: phase=TRANSFORMING_FRAME, candidate_count=2, best_confidence=0.95
[INFO] [1789702514.640646067] [task_manager_node]: Empty slot detected: frame_id=arm_base_link, x=-0.350, y=0.549, z=0.340, confidence=0.95, candidate_count=2
