book,board_z_world,gz_arm,gy_arm,base_y_equiv_world,code,err,min_all,min_all_seg,min_all_joint,min_insert,min_insert_seg,min_insert_joint,m_approach,m_down,m_lift,m_carry_rotate,m_wedge,m_back,m_touch,m_push,m_retreat,m_return,branch_down
over_01_cover58_01,0.648,0.4899,0.5345,-3.0040,0,"",0.0011,wedge,6,0.0011,wedge,6,0.1281,0.1281,0.1288,0.1218,0.0011,0.0792,0.1045,0.0718,0.0709,0.1291,0
over_01_cover58_01,0.648,0.4899,0.5395,-3.0090,0,"",0.0011,wedge,6,0.0011,wedge,6,0.1281,0.1281,0.1288,0.1029,0.0011,0.0820,0.1004,0.0755,0.0739,0.1291,0
over_01_cover58_01,0.648,0.4899,0.5445,-3.0140,0,"",-0.0008,wedge,6,-0.0008,wedge,6,0.1281,0.1281,0.1288,0.0843,-0.0008,0.1068,0.1154,0.1024,0.0985,0.1291,0
over_01_cover58_01,0.648,0.4899,0.5495,-3.0190,0,"",0.0018,wedge,6,0.0018,wedge,6,0.1281,0.1281,0.1288,0.0653,0.0018,0.0621,0.0731,0.0551,0.0519,0.1291,0
over_01_cover58_01,0.648,0.4899,0.5545,-3.0240,0,"",-0.0004,wedge,6,-0.0004,wedge,6,0.1281,0.1281,0.1288,0.0478,-0.0004,0.1050,0.1073,0.1021,0.0996,0.1291,0
over_01_cover58_01,0.648,0.4899,0.5595,-3.0290,0,"",-0.0008,wedge,6,-0.0008,wedge,6,0.1281,0.1281,0.1288,0.0288,-0.0008,0.1047,0.1050,0.1016,0.0977,0.1291,0
over_01_cover58_01,0.648,0.4899,0.5645,-3.0340,0,"",0.0023,wedge,6,0.0023,wedge,6,0.1281,0.1281,0.1288,0.0131,0.0023,0.0492,0.0491,0.0428,0.0388,0.1291,0
over_01_cover58_01,0.648,0.4899,0.5695,-3.0390,0,"",0.0004,carry_rotate,6,0.0004,wedge,6,0.1281,0.1281,0.1288,0.0004,0.0004,0.0742,0.0716,0.0699,0.0664,0.1291,0
over_01_cover58_01,0.648,0.4899,0.5745,-3.0440,0,"",-0.0004,carry_rotate,6,-0.0004,wedge,6,0.1281,0.1281,0.1288,-0.0004,-0.0004,0.0311,0.0314,0.0272,0.0222,0.1283,0
over_01_cover58_01,0.648,0.4899,0.5795,-3.0490,401,"wedge: 32배까지 잘게 나눠도 한 걸음이 0.153 rad 이다 (손목 특이점으로 본다)",,,,,,,,,,,,,,,,,
over_01_cover58_01,0.648,0.4899,0.5845,-3.0540,0,"",0.1150,retreat,6,0.1150,retreat,6,0.1281,0.1281,0.1288,0.1291,0.1194,0.1171,0.1172,0.1210,0.1150,0.1291,0
over_01_cover58_01,0.648,0.4899,0.5895,-3.0590,0,"",0.1281,approach,1,0.1475,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1475,0.1696,0.1696,0.1744,0.1556,0.1291,0
over_01_cover58_01,0.648,0.4899,0.5945,-3.0640,0,"",0.1281,approach,1,0.1527,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1527,0.1746,0.1746,0.1792,0.1605,0.1291,0
over_01_cover58_01,0.648,0.4899,0.5995,-3.0690,0,"",0.1281,approach,1,0.1591,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1591,0.1804,0.1804,0.1850,0.1666,0.1291,0
over_01_cover58_01,0.648,0.4899,0.6045,-3.0740,0,"",0.1281,approach,1,0.1654,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1654,0.1862,0.1862,0.1907,0.1728,0.1291,0
over_01_cover58_01,0.648,0.4899,0.6095,-3.0790,0,"",0.1281,approach,1,0.1731,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1731,0.1936,0.1936,0.1982,0.1799,0.1291,0
over_01_cover58_01,0.648,0.4899,0.6145,-3.0840,0,"",0.1281,approach,1,0.1810,wedge,1,0.1281,0.1281,0.1288,0.1291,0.1810,0.2010,0.2010,0.2057,0.1878,0.1291,0
